Date,Gold_21_Price_EGP,Gold_21_Local_Sell_EGP,Diff_%
2022-11-09,1169.774301927436,1220.0,4.116860497751148
2022-11-10,1201.5554519587827,1223.0,1.7534381063955298
2022-11-11,1212.588494863922,1252.0,3.1478837968113376
2022-11-14,1217.1407960518914,1258.0,3.247949439436299
2022-11-15,1222.6251064992687,1262.0,3.12003910465383
2022-11-16,1220.4246306685743,1258.0,2.98691330138519
2022-11-17,1213.7762229331104,1268.0,4.2763231125307275
2022-11-18,1206.467559920909,1283.0,5.965116140225329
2022-11-21,1197.4633883646534,1305.0,8.240353382018897
2022-11-22,1197.0822013599757,1330.0,9.993819446618371
2022-11-23,1207.0529843908243,1355.0,10.918598937946543
2022-11-24,1213.0290401401771,1390.0,12.731723730922509
2022-11-25,1213.8445834070121,1425.0,14.817923971437747
2022-11-28,1201.7526564534537,1440.0,16.544954412954603
2022-11-29,1205.8925442474322,1445.0,16.547228771804
2022-11-30,1218.4641197935923,1480.0,17.671343257189708
2022-12-01,1244.0396579163116,1528.0,18.583792021183797
2022-12-02,1240.6168518012441,1580.0,21.479946088528852
2022-12-05,1219.2096146735898,1780.0,31.50507782732641
2022-12-06,1221.1476200427605,1720.0,29.00304534635113
2022-12-07,1237.9038130756987,1680.0,26.3152492216846
2022-12-08,1235.2861414310287,1610.0,23.274152706147287
2022-12-09,1240.8134936582699,1650.0,24.7991822025291
2022-12-12,1233.9439693282106,1650.0,25.215517010411475
2022-12-13,1254.0031266577716,1640.0,23.536394715989534
2022-12-14,1255.928753998746,1660.0,24.34164132537674
2022-12-15,1232.2276431912808,1850.0,33.39310036803887
2022-12-16,1242.899754046972,1830.0,32.08198065317093
2022-12-19,1242.701986914656,1640.0,24.225488602764887
2022-12-20,1259.924043917887,1720.0,26.748602097797264
2022-12-21,1261.4783304129758,1740.0,27.501245378564608
2022-12-22,1245.815061005996,1720.0,27.568891801976967
2022-12-23,1251.8290947964056,1680.0,25.486363404975858
2022-12-26,1251.5891298406932,1530.0,18.196788899301097
2022-12-27,1256.9004292121465,1575.0,20.196798145260537
2022-12-28,1257.015207291784,1545.0,18.63979240829877
2022-12-29,1262.763394794798,1600.0,21.07728782532513
2022-12-30,1269.7510730303663,1650.0,23.045389513311132
2023-01-02,1265.6654797691579,1635.0,22.589267292406248
2023-01-03,1281.716687832559,1645.0,22.0840919250724
2023-01-04,1377.748806404424,1710.0,19.42989436231439
2023-01-05,1400.0250373752149,1720.0,18.603195501440993
2023-01-06,1424.9777356246082,1740.0,18.1047278376662
2023-01-09,1450.7153133891686,1715.0,15.410185808211743
2023-01-09,1450.7153133891686,1715.0,15.410185808211743
2023-01-10,1457.5055058112432,1700.0,14.264382011103342
2023-01-11,1563.3868776825757,1800.0,13.145173462079129
2023-01-12,1572.0700644621988,1820.0,13.622523930648414
2023-01-13,1593.564229106049,1820.0,12.441525873294012
2023-01-16,1597.1563891523463,1750.0,8.733920619865927
2023-01-17,1585.232690854727,1770.0,10.438831025156665
2023-01-18,1585.6093767582427,1780.0,10.920821530435806
2023-01-19,1618.9341231694182,1740.0,6.95780901325183
2023-01-20,1614.6938045557574,1765.0,8.515931753214877
2023-01-23,1619.2140353979455,1765.0,8.259828022779292
2023-01-24,1624.263989583166,1765.0,7.973711638347536
2023-01-25,1633.336802932146,1745.0,6.399037081252382
2023-01-26,1619.0826595077724,1745.0,7.215893437950005
2023-01-27,1617.907590785603,1745.0,7.283232619736222
2023-01-30,1626.2835774109024,1715.0,5.172969247177706
2023-01-31,1633.5123458774738,1690.0,3.3424647409778836
2023-02-01,1653.417903129873,1730.0,4.42671080174145
2023-02-02,1626.2880785120647,1740.0,6.53516790160548
2023-02-03,1586.4882167601716,1720.0,7.762312979059793
2023-02-06,1584.5203915958011,1705.0,7.06625269232838
2023-02-07,1593.571262076615,1700.0,6.2605139954932305
2023-02-08,1599.5023068143457,1710.0,6.46185340266984
2023-02-09,1593.998022730561,1720.0,7.325696352874364
2023-02-10,1597.1516067323612,1715.0,6.871626429599931
2023-02-13,1590.095849341714,1705.0,6.739246372919998
2023-02-14,1593.5358159049624,1700.0,6.262599064413974
2023-02-15,1575.1316572089959,1690.0,6.796943360414446
2023-02-16,1575.3589628176892,1680.0,6.228633165613739
2023-02-17,1580.7839149934896,1675.0,5.62484089591107
2023-02-22,1571.7186972527206,1682.0,6.55655783277523
2023-02-23,1566.338756088543,1675.0,6.487238442475042
2023-02-27,1561.8255582169209,1670.0,6.477511484016715
2023-02-28,1571.5248685839213,1670.0,5.896714456052619
2023-03-01,1578.8416898419791,1680.0,6.02132798559648
2023-03-02,1588.4386001575385,1740.0,8.710425278302383
2023-03-03,1605.7076374041508,1770.0,9.282054383946283
2023-03-06,1601.9435915572203,1830.0,12.46209882200982
2023-03-07,1564.7405838571221,1825.0,14.260789925637143
2023-03-08,1573.0856254119312,1800.0,12.606354143781598
2023-03-09,1589.0240246274534,1850.0,14.106809479597112
2023-03-10,1621.195926503448,1835.0,11.651448146951065
2023-03-13,1660.822777179417,1880.0,11.658362915988457
2023-03-14,1652.3536740238237,1905.0,13.262274329458073
2023-03-15,1663.5529763531435,1910.0,12.902985531249028
2023-03-16,1660.7245969103155,1915.0,13.27808893418718
2023-03-17,1719.618973748935,1940.0,11.359846713972416
2023-03-20,1716.2833764688862,2060.0,16.685272986947272
2023-03-21,1683.665021621361,1965.0,14.31730169865848
2023-03-22,1708.5901506261355,1985.0,13.924929439489397
2023-03-23,1734.487798800778,2015.0,13.921201052070575
2023-03-27,1699.191288761715,1980.0,14.18225814334773
